Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
2011 S 25th ST,Fort Pierce,United States,St-Lucie,"Fort Pierce, FL",Infinity Enforcement Agency,,7722420020,,Florida,Security Agency,,34947,,STE 214
141 Southpointe Drive,Byram,United States,Hinds,"Byram, MS",Byram Police Department,33,6013727747,"11,500",Mississippi,Police Departments,http://www.byrampolice.net,39272,6013467081,P.O. Box 720222
3500 Camp Bowie Blvd.,Fort Worth,United States,Tarrant,"Fort Worth, TX",UNT Health Science Center,12,8177352210,,Texas,Campus Police Department,http://www.unthsc.edu/police,76107,,
 Town Hall 8700 Haight Rd,Barker,United States,Niagara,"Barker, NY",Somerset Town Police,7,7162050503,3000,New York,Police Departments,,14012,,
6438 Kootenai Street,Bonners Ferry,United States,Boundary ,"Bonners Ferry, ID",Boundary County Sheriffs Department,10,2082673151,15000,Idaho,Sheriffs Departments,http://www.boundarysheriff.org/,83805,2082673154,P.O. Box 127
120 East Black Street,Rock Hill,United States,York County,"Rock Hill, SC",Rock Hill Police,120,803-329-7202,55000,South Carolina,Police Departments,,29730-4530,803-329-2524,
PO Box 71,New Castle,United States,New Castle,"New Castle, DE",Delaware River & Bay Authority Police Department,,3025716343,,Delaware,Police Departments,http://www.drba.net/police,19720,,I-295 & Rt. 9
235 4th Ave ,South Charleston,United States,Kanawha ,"South Charleston, WV",South Charleston Police Department ,42,3047446903,,West Virginia,Police Departments,http://scpolice.org/home.html,25303,3047200843,
1200 N. Amburn Rd.,Texas City,United States,Galveston,"Texas City, TX",College of the Mainland Police Department.,12,4099338403,,Texas,Police Departments,http://www.com.edu/campus-police,77591,4099338013,
1 City Hall Place,Coatesville,United States,,"Coatesville, PA",Coatesville Police Department,,610-384-2300,,Pennsylvania,Police Departments,http://www.coatesville.org/police-department,19320,610-384-4659,
2790 W. Highway 6,Alvin ,United States,Brazoria ,"Alvin , TX",Alvin ISD Police Department ,30,2813312320,"23,000 ",Texas,Campus Police Department,http://www.alvinisd.net/,77511,2813882244,
105 West Main,Cordell ,United States,,"Cordell , OK",Cordell Police Department ,5,580-832-2121,3600,Oklahoma,Police Departments,http://cordell-ok.com/city.html,73632,,
302 South Wilmington Street,Richlands,United States,Onslow,"Richlands, NC",Richlands Police Department,,9103245777,1674,North Carolina,Police Departments,www.richlandsnc.gov/departments.html,28574,9103242324,
1 Hamilton Dr.,Mill Valley,United States,US,"Mill Valley, CA",Mill Valley Police Department.,21,4153894100,"14,394",California,Police Departments,http://cityofmillvalley.org/Index.aspx?page=47,94941,4153894148,
636 W Plaza Dr,Leavenworth,United States,Crawford,"Leavenworth, IN","Leavenworth Police Department, IN",3,8127391221,600,Indiana,Police Departments,www.leavenworthpolice.org,47137,8127394441,PO Box 5
14570 W Kania Dr,Rocky Ridge,United States,Ottawa,"Rocky Ridge, OH",Rocky Ridge Police Department,4,4198989541,412,Ohio,Police Departments,,43458,5674824082,
2501 Midpoint Dr,Fort Collins,United States,Larimer,"Fort Collins, CO",Larimer County Sheriff's Office (CO),,9704985100,"333,577",Colorado,Sheriffs Departments,http://www.larimersheriff.org/,80525,9704989203,
1044 Belmont Ave,Youngstown,United States,Mahoning,"Youngstown, OH",Mercy Health Police Department,46,3304803288,"Hospital system, Trauma Centers",Ohio,Police Departments,,44504,3304802865,
109 S. 1st Street,BANGS,United States,,"BANGS, TX",BANGS POLICE DEPARTMENT,3,325-752-6223,2500,Texas,Police Departments,,76823,325-752-5775,
604 Davis St. West,Elba ,United States,Coffee,"Elba , AL",Coffee County Constable District 5,2,3348061655,3200,Alabama,County Constables,http://coffeecountyconstable.org/,36323,334 8971927,
125 S Main St,Swainsboro ,United States,Emanuel,"Swainsboro , GA",Emanuel County Sheriff's Office,50,4782377526,"23,000",Georgia,Sheriffs Departments,http://www.emanuelcountysheriff.org/,30401,,
115 south 5th street ,Ironton ,United States,,"Ironton , OH",Lawrence County Sheriff Department ,45,740-534-5819,,Ohio,Sheriffs Departments,,45638,,
600 Industrial Road,Glenwood,United States,Mills,"Glenwood, IA",Mills County Sheriff's Office ,11,7125274337,15000,Iowa,Sheriffs Departments,Millscoia.us,51534,,
45525 W Farrell Rd,Maricopa,United States,,"Maricopa, AZ",Ak-Chin Police Department,,520-568-1200,,Arizona,Police Departments,,85139,,
19 North Canal Street,Newton Falls,United States,Trumbull,"Newton Falls, OH",NEWTON FALLS POLICE Department.,25,330-872-5757,5000,Ohio,Police Departments,http://ci.newtonfalls.oh.us/police/,44444,,
210 W. Larissa Street,Jacksonville,United States,Cherokee,"Jacksonville, TX",Jacksonville Police Department,30,9035892546,15000,Texas,Police Departments,http://www.jacksonville-texas.com/,75766,,
626 Wentwoth Ave.,Calumet City,United States,cook,"Calumet City, IL",Calumet Memorial Park Police Department.,28,7086251802,40000,Illinois,Police Departments,,60609,,
117 Lincoln avenue,Hogansville ,United States,Troup,"Hogansville , GA",Hogansville police department ,8,706-638-6648,3400,Georgia,Police Departments,,30230-1129,706-637-9933,
92 Ohltown Rd.,Austintown,United States,Mahoning,"Austintown, OH",Austintown Police Department,42,3307999721,40000,Ohio,Police Departments,http://www.austintowntwp.com/,44515,3307998651,
9400 White St.,Clarks Hill,United States,Tippecanoe County,"Clarks Hill, IN",Clarks Hill Police Department,1,765-523-2217,800,Indiana,Police Departments,,47930-0146,765-523-3144,
110 S. Main St.,Boiling Springs,United States,Cleveland,"Boiling Springs, NC",Gardner-Webb University Campus Police,8,7044064444,,North Carolina,Campus Police Department,http://www.gardner-webb.edu/offices-and-departments/departments/university-police/index,28017,,
201 W 5th St Suite 520,Tulsa,United States,,"Tulsa, OK",Sulivant & Sulivant Investigations,,9188952530,,Oklahoma,Security Agency,https://www.statewidepi.com/,74103,,
2601 Gentilly Boulevard,New Orleans,United States,Orleans,"New Orleans, LA",Dillard University Police Department,30,5048165310,2000,Louisiana,Campus Police Department,http://www.dillard.edu/,70122,5048164954,
201 E. Highway 18,Martin,United States,Bennett,"Martin, SD",Martin Police Department,5,6056856765,1079,South Dakota,Police Departments,,57551,6056856765,
101 N.1st St.,Coolidge,United States,Limestone,"Coolidge, TX",Coolidge Police Department,3,2547864814,"1,000",Texas,Police Departments,,76635,2547862169,
11911 Dorsett Road,Maryland Heights,United States,St Louis ,"Maryland Heights, MO",Maryland Heights,85,3142988700,"28,000",Missouri,Police Departments,http://www.marylandheights.com/,63043,3147382505,
"23rd, 26 Federal Plaza",New York,United States,,"New York, NY",FBI - Central Government Office,15,347-719-2394,,New York,Federal Bureau of Investigation,,10278,,
115 Sixth St,Clymer,United States,Indiana,"Clymer, PA",Clymer Borough Police Department,2,7242540714,1318,Pennsylvania,Police Departments,http://www.clymerpa.com/,15728,,
414 E Clark St,Vermillion,United States,,"Vermillion, SD",University of South Dakota Police Department,16,6056776199,,South Dakota,Police Departments,http://www.usd.edu/404?item=%2fadministration%2funiversity-polic&user=extranet%5cAnonymous&site=usd,57068,,
6831 Cypresswood Dr,Spring,United States,Harris,"Spring, TX",Harris County PCt. 4 Constable,493,2813763472,1.5 million,Texas,County Police Departments,http://www.cd4.hctx.net/,77379,2814460691,
19072 Freeman Spur Road,Freeman Spur,United States,"Willimason, Franklin","Freeman Spur, IL",Freeman Spur Police Department,3,6189423594,390,Illinois,Police Departments,,62841,,
3100 Penrose Ferry Rd,Philadelphia ,United States,Philadelphia,"Philadelphia , PA",Philadelphia Housing Authority Police Department,76,2156844838,"94,000",Pennsylvania,Police Departments,pha.phila.gov,19145,2156844828,
318-335-0290,Oakdale,United States,,"Oakdale, LA",Oakdale Police Departments,21,318-335-0290,7070,Louisiana,Police Departments,,71463,318-335-0620,
16901 NE 19th Ave,North Miami Beach,United States,Miami-Dade,"North Miami Beach, FL",North Miami Beach Police Department,101,3059495500,"45,000",Florida,Police Departments,www.nmbpd.org,33162,,
8700 JUSTICE WAY,HERITAGE CREEK,United States,JEFFERSON,"HERITAGE CREEK, KY",HERITAGE CREEK POLICE Department.,10,50222396985,1000,Kentucky,Police Departments,http://www.usacops.com/ky/p40229hc/index.html,40229,58022392381,
1 criminal justice Dr,Conroe,United States,,"Conroe, TX",Montgomery County Sheriff's Office,,936-760-5800,,Texas,Sheriffs Departments,www.mocosheriff.com,77301,,
7721 E. Parham Rd,Henrico,United States,Henrico ,"Henrico, VA",Henrico County Police Division,600+,8045015000,"321,924",Virginia,Police Departments,http://henrico.us/police/,23294,8045015000,
220 S. Shepherd St.,Ironton,United States,Iron,"Ironton, MO",Iron County Sheriff's Office,10,5735467051,"10,630",Missouri,Sheriffs Departments,http://www.icsomo.org/,63650,5735467139,
617 Cliff Street,Battle Creek,United States,USA,"Battle Creek, MI",Emmett Township Department of Public Safety,16,2699689303,11770,Michigan,Police Departments,www.emmett.org,49014,2699683085,
305 Prairie Street North ,Union Springs ,United States,,"Union Springs , AL",Union Springs Police Department ,,334-738-3131,,Alabama,Police Departments,,36089,,
400 Connecticut Ave NW,Washington,United States,,"Washington, DE",University of the District of Columbia Police Department,,2022745050,,Delaware,Campus Police Department,www.udc.edu/Police,20008,,
3600 Wheeler Avenue,Alexandria,United States,,"Alexandria, VA",Alexandria Police Department,320,703-7461870,"150,000",Virginia,Police Departments,www.alexandriava.gov/police,22304,,
725 Jefferson Street,Red Bluff,United States,Tehama,"Red Bluff, CA",Tehama County DA Bureau of Investigation,10,5305293590,65000,California,County Police Departments,,96080,,PO Box 949
1100 Ohio Dr SW,Washington,United States,USA,"Washington, DE",US Park Police,600,2026107505,"Washington, DC; New York, NY; San Francisco, CA",Delaware,Police Departments,http://www.nps.gov/subjects/uspp/index.htm,20012,,
51 East Norton Ave.,Eustis,United States,Lake,"Eustis, FL",Eustis PD,50,352-483-5400,"23,000",Florida,Police Departments,http://www.eustis.org/,32726,352-483-5429,
16 Fuller Street,Belmont,United States,Belknap,"Belmont, NH",Belmont Police Department,19,6032675350,,New Hampshire,Police Departments,http://belmontnhpolice.org/,03220,6032678359,PO Box 320
1701 Court St.,Pekin,United States,Tazewell,"Pekin, IL",Pekin Park District Police Department,11,3093537220,40000,Illinois,Police Departments,,61554,3093461582,
1180 Joe Battle,El Paso,United States,El Paso,"El Paso, TX",Socorro I.S.D. Police,,9159370790,,Texas,Police Departments,http://www.sisd.net/page/455,79936,,
28801 Coral Sea Blvd,Homestead Air Reserve Base,United States,Miami Dade,"Homestead Air Reserve Base, FL",Homestead Air Reserve Base,,786-415-7000,,Florida,Military Installations & Bases,http://www.homestead.afrc.af.mil,33039,,
5-911 14th St,New Cumberland,United States,York,"New Cumberland, PA",Defense Logistics Agency,,7177706270,,Pennsylvania,Military Installations & Bases,http://www.dla.mil/,17070,,Bldg 911
310 Hand Avenue,Bay Minette,United States,Baldwin County,"Bay Minette, AL",Baldwin County Sheriff's Office,,2519370202,,Alabama,Sheriffs Departments,http://sheriff.baldwincountyal.gov/,36507,2515802565,
10601 w Higgins rd,Chicago ,United States,,"Chicago , IL",Chicago Aviation Police,,7736862685,,Illinois,Police Departments,,60666,,
450 West Hanes Mill Rd.,Winston-Salem,United States,Forsyth,"Winston-Salem, NC",North State Company Police,28,3363069277,,North Carolina,Campus Police Department,www.northstatesecuritygroup.com,27105,,Suite 210
250 South Avenue D,Canton,United States,Fulton,"Canton, IL",Canton Park District Police,8,3096471345,"14,437",Illinois,Police Departments,http://www.cantonpark.org,61520,3096472463,
506 Walnut St.,Texarkana,United States,,"Texarkana, AR",Southwest Arkansas Community Corrections,65,870-779-2036,,Arkansas,Corrections Center,,71854,870-779-2044,
1202 Philadelphia Ave ,Northern Cambria,United States,Cambria,"Northern Cambria, PA",Norothern Cambria Borough Police Department,7,8149484884,3800,Pennsylvania,Police Departments,,15714,,
90 Elk Mountain Rd.,Woodfin,United States,Buncombe,"Woodfin, NC",Woodfin Police Department,14,8282534889,7200,North Carolina,Police Departments,www.woodfin-nc.gov,28804,8282534700,
201 Cherry St,Terre Haute,United States,Vigo,"Terre Haute, IN",Vigo County Sheriff's Office,,812-462-3226,,Indiana,County Police Departments,VigoCounty.IN.Gov,47807,,
1526 Main St,Pittsburg,United States,Coos,"Pittsburg, NH",Pittsburg Police Department,,6035387003,870,New Hampshire,Police Departments,http://www.pittsburg-nh.com/area-departments/pitts,03592,6035386698,
194 Main Street,Elkton,United States,Giles,"Elkton, TN",Elkton Police Department,3,9313477054,611,Tennessee,Police Departments,www.elktontn.com,38455,9314682993,PO Box 157
225 Third Street,California,United States,USA,"California, PA",California Borough Police Department,15,7249383233,,Pennsylvania,Police Departments,,15419,7249380703,
7777 NE Birmingham Rd.,Randolph,United States,Clay,"Randolph, MO",Randolph Police Department,,8164559323,,Missouri,Police Departments,,64161,8164559316,
17353 Reservation Rd,La Conner,United States,Skagit,"La Conner, WA",Swinomish Police Department,,3604667237,,Washington,Police Departments,,98257,,
1 University Boulevard,St. Louis,United States,St. Louis County,"St. Louis, MO",University of Missouri-St. Louis Police Department,,3145165155,,Missouri,Police Departments,http://safety.umsl.edu/police/,63121,,44 Campus Police Building
901 N. 9th Street,Milwaukee,United States,Milwaukee,"Milwaukee, WI",Milwaukee County Sheriff's Office,over 400,414-278-7000,1.2 million +,Wisconsin,Sheriffs Departments,www.county.milwaukee.gov/officeofsheriff,53233,,
3111 La Highway78,Livonia,United States,Pointe Coupee,"Livonia, LA",Livonia Police Department,11,2256372520,1500,Louisiana,Police Departments,,70755,2256373189,PO Box 307
1327 16th St,Fort Lee,United States,Bergen,"Fort Lee, NJ",Borough of Fort Lee Police Department,96,2015923776,"50,000",New Jersey,Police Departments,www.fortleepolice.org,07024,,
88 Wheeler Ave,Pleasantville,United States,Westchester,"Pleasantville, NY",Village of Pleasantville,3,9147692027,"13,000",New York,County Constables,www.pleasantville-ny.gov,10570,,
411 Convent Street,Gallitzin,United States,Cambria,"Gallitzin, PA",Gallitzin Borough Police Department,9,8148864014,2100,Pennsylvania,Police Departments,www.gallitzinpa.com,16641,8148864986,Suite #10
402 Indian Trail,Harker Heights,United States,Bell,"Harker Heights, TX",Harker Heights Police Department,51,2549535400,"27,000",Texas,Police Departments,harkerheights.com,76548,2549535414,
605 Pine St.,Hillsville,United States,Carroll,"Hillsville, VA",Carroll County Sheriff's Office,45,276-728-4146,"30,000",Virginia,Sheriffs Departments,,24343,,
PO Box 15012,Covington,United States,Kentucky,"Covington, KY",United States Fugitive Service,27,8885549940,,Kentucky,Security Agency,www.USFSonline.org,41015,8595752900,
907 Broad St,Keosauqua,United States,,"Keosauqua, IA",Van Buren County Sheriff's Office,5,319-293-3426,8000,Iowa,Sheriffs Departments,,52565,319-293-7114,PO Box 474
2 East Main St.,New Bloomfield,United States,Perry,"New Bloomfield, PA",Perry County Sheriff's Office,10,7175825123,"45,562",Pennsylvania,Sheriffs Departments,http://www.perryco.org/Dept/SheriffsOffice/Pages/S,17068,7175825115,
12000 SW 49th Ave,Portland,United States,USA,"Portland, OR",Portland Comm College Department of Public Safety,40,9717224902,"89,903",Oregon,Campus Police Department,http://www.pcc.edu/about/public-safety/,97219,,
02 Dove Road,Pueblo of Santa Ana,United States,Sandoval,"Pueblo of Santa Ana, NM",Santa Ana Police Department,22,5057716730,,New Mexico,Police Departments,http://www.santaana-nsn.gov/police/,87004,5057716779,
303 East North Street,New Castle,United States,Lawrence,"New Castle, PA",New Castle City Police Department,45,7246563570,"20,000",Pennsylvania,Police Departments,http://www.newcastlepd.com/,16101,7246563582,
